CCAA,Curados,Fallecidos,Hospitalizados,Infectados,Nuevos,UCI
Andalucía,1437,691,4715.0,9510,249,582.0
Aragón,797,409,1822.0,3831,146,263.0
Asturias,372,121,1083.0,1799,62,100.0
Baleares,737,97,777.0,1488,40,136.0
C. Valenciana,2085,796,3987.0,8331,367,561.0
Canarias,386,94,738.0,1858,24,141.0
Cantabria,265,102,747.0,1659,40,73.0
Castilla La Mancha,1982,1431,2359.0,13063,574,329.0
Castilla y León,3506,1129,5674.0,11102,584,332.0
Cataluña,13513,3231,21530.0,31824,781,2582.0
Ceuta,12,4,9.0,91,7,4.0
Extremadura,397,288,1003.0,2332,59,101.0
Galicia,997,243,2165.0,6946,188,151.0
La Rioja,1256,196,1047.0,3076,50,71.0
Madrid,22414,5972,12432.0,44783,906,1399.0
Melilla,17,2,41.0,95,2,3.0
Murcia,255,90,533.0,1383,27,88.0
Navarra,560,218,1620.0,3748,173,124.0
País Vasco,4680,729,5290.0,10103,297,442.0
ESPAÑA,55668,15843,67572.0,157022,4576,7482.0
