CCAA,Curados,Fallecidos,Hospitalizados,Infectados,Nuevos,UCI
Andalucía,1838,799,4950.0,10006,294,619.0
Aragón,934,450,1901.0,4070,101,272.0
Asturias,430,140,1208.0,1892,65,106.0
Baleares,848,112,805.0,1534,27,142.0
C. Valenciana,2624,838,4149.0,8841,263,567.0
Canarias,447,95,758.0,1918,31,144.0
Cantabria,297,110,805.0,1752,33,75.0
Castilla La Mancha,2365,1543,6838.0,13698,242,316.0
Castilla y León,4010,1221,5957.0,12118,575,323.0
Cataluña,14975,3442,22369.0,34027,1043,2658.0
Ceuta,17,4,9.0,93,0,4.0
Extremadura,481,312,1074.0,2580,94,106.0
Galicia,1143,274,2306.0,7336,160,140.0
La Rioja,1420,219,1122.0,3279,56,73.0
Madrid,24683,6278,11424.0,46587,738,1332.0
Melilla,18,2,43.0,98,0,3.0
Murcia,344,97,537.0,1449,36,91.0
Navarra,650,232,1663.0,3969,152,124.0
País Vasco,4867,804,5547.0,10772,257,459.0
ESPAÑA,62391,16972,73465.0,166019,4167,7554.0
